STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
1,91,Alabama,Marengo County,Marengo County,19066,-87.78951929,32.24761341
56,23,Wyoming,Lincoln County,Lincoln County,19434,-110.6559473,42.26380162
29,11,Missouri,Barton County,Barton County,11798,-94.34711078,37.50230062
48,57,Texas,Calhoun County,Calhoun County,21561,-96.61507367,28.43910927
51,735,Virginia,Poquoson city,Poquoson city,12190,-76.27056238,37.15026972
54,75,West Virginia,Pocahontas County,Pocahontas County,8414,-80.0077525,38.33179534
48,77,Texas,Clay County,Clay County,10456,-98.20850331,33.78553104
51,95,Virginia,James City County,James City County,76397,-76.77380009,37.3133053
31,101,Nebraska,Keith County,Keith County,8021,-101.6613512,41.19879316
31,137,Nebraska,Phelps County,Phelps County,8996,-99.41454289,40.51111306
22,19,Louisiana,Calcasieu Parish,Calcasieu Parish,203112,-93.35794529,30.22922398
22,111,Louisiana,Union Parish,Union Parish,22330,-92.37481822,32.83189616
40,135,Oklahoma,Sequoyah County,Sequoyah County,41179,-94.75524386,35.49535331
1,49,Alabama,DeKalb County,DeKalb County,71385,-85.80414264,34.45977296
36,101,New York,Steuben County,Steuben County,95796,-77.38380325,42.26780901
