state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-28,5,POST,F,1,-0.141809415,F,1,-0.397945015,F,1,0.092556236,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-29,6,POST,F,1,-0.161134513,F,1,-0.337448205,F,1,0.544612683,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-30,7,POST,F,1,-0.139213724,F,1,-0.498005311,F,1,-0.107995103,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-31,1,POST,D-,1.7,-0.198556318,F,1,-0.559077952,D,2,-0.458507775,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-01,2,POST,F,1,-0.098741588,F,1,-0.418396683,F,1,0.007271959,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-02,3,POST,F,1,-0.115860275,F,1,-0.496435478,F,1,-0.325636555,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-03,4,POST,F,1,-0.055123631,F,1,-0.374981419,F,1,0.074657171,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-04,5,POST,F,1,-0.026466414,F,1,-0.482950642,F,1,-0.090317898,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-05,6,POST,F,1,-0.135093086,F,1,-0.48012443,F,1,0.109317641,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-06,7,POST,F,1,-0.008831068,F,1,-0.484810594,F,1,0.025643103,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-07,1,POST,F,1,-0.139496822,F,1,-0.529716103,F,1,-0.330384565,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-08,2,POST,F,1,-0.04299925,F,1,-0.457725114,F,1,-0.144810438,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-09,3,POST,F,1,-0.077748247,F,1,-0.407002896,F,1,-0.102991431,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-10,4,POST,F,1,-0.060182323,F,1,-0.434159775,F,1,-0.155621291,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-11,5,POST,F,1,-0.133859242,F,1,-0.476490449,F,1,-0.096490311,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-12,6,POST,F,1,-0.047777423,F,1,-0.42809015,F,1,0.202743859,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-13,7,POST,F,1,0.073396323,F,1,-0.374894311,F,1,0.516660335,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-14,1,POST,F,1,0.04079471,F,1,-0.305729021,F,1,0.346425932,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-15,2,POST,F,1,-0.111308189,F,1,-0.318582525,F,1,-0.013692329,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-16,3,POST,F,1,-0.122659707,F,1,-0.346783631,F,1,0.005993649,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-17,4,POST,F,1,-0.121024314,F,1,-0.375513429,F,1,-0.053173855,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-18,5,POST,F,1,-0.005273017,F,1,-0.390607872,F,1,0.006322357,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-19,6,POST,F,1,-0.029126067,F,1,-0.361694803,F,1,0.672395047,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-06-20,7,POST,F,1,0.07117869,F,1,-0.279006347,F,1,0.859503145,F,1
